QuestionID,Level,QuestionText,ImageName,OptionA,OptionB,OptionC,OptionD,Answer,CorrectAnswer,Keyword,Type
1,1,圖中標誌表示:,img1,向右轉彎,向左轉彎,應遵方向,路線忠告,向右轉彎,A,轉彎,1
2,1,圖中標誌表示:,img2,向左轉彎,向右轉彎,應遵方向,路線忠告,向左轉彎,A,轉彎,1
3,1,圖中標誌表示:,img3,先向左轉，後向右轉,路線忠告,先向右轉，後向左轉,有優先權道路方向標誌,先向右轉，後向左轉,C,轉彎,1
4,1,圖中標誌表示:,img4,先向右轉，後向左轉,先向左轉，後向右轉,路線忠告,有優先權道路方向標誌,先向左轉，後向右轉,B,轉彎,1
5,1,圖中標誌表示:,img5,禁止駛入,十字交叉或 T 型交叉,禁止停車,施工,十字交叉或 T 型交叉,B,轉彎,1
6,1,圖中標誌表示:,img6,十字交叉有權先行,禁止駛入,有權先行,十字交叉或 T 型交叉,有權先行,C,轉彎,1
7,1,圖中標誌表示:,img7,T 型交叉有權先行,T 型交叉或十字交叉,向右轉彎,無出口道路,T 型交叉有權先行,A,轉彎,1
8,1,圖中標誌表示:,img8,向左轉彎,T 型交叉有權先行,T 型交叉或十字交叉,T 型交叉或十字交叉,T 型交叉有權先行,B,轉彎,1
9,1,圖中標誌表示:,img9,T 型交叉或十字交叉,沒有優先權道路方向標誌,T 型交叉有權先行,T 型交叉讓先通過,T 型交叉有權先行,C,轉彎,1
10,1,圖中標誌表示:,img10,T 型交叉有權先行,T 型交叉或十字交叉,沒有優先權道路方向標誌,T 型交叉讓先通過,T 型交叉有權先行,A,轉彎,1
11,1,圖中標誌表示:,img11,注意路緣低,駝峰,窪穴,駝峰或溝渠,駝峰,B,轉彎,1
12,1,圖中標誌表示:,img12,活動橋,施工,窪穴,注意横風,窪穴,C,轉彎,1
13,1,圖中標誌表示:,img13,駝峰或溝渠,駝峰,窪穴,注意路緣低,駝峰或溝渠,A,轉彎,1
14,1,圖中標誌表示:,img14,禁止汽車及附旁卡重型摩托車通行,注意路緣低,禁止泊車,路面滑,注意路緣低,B,轉彎,1
15,1,圖中標誌表示:,img15,注意行人,行人必須使用之路,注意兒童,禁止行人通行,注意兒童,C,轉彎,1
16,1,圖中標誌表示:,img16,禁止行人通行,禁止行人通行,人行横道,行人必須使用之路,禁止行人通行,A,轉彎,1
17,1,圖中標誌表示:,img17,窄路讓先,窄路,雙向交通,汽車車道,窄路,B,轉彎,1
18,1,圖中標誌表示:,img18,雙向交通,雙向交通,窄路,汽車車道,窄路,C,轉彎,1
19,1,圖中標誌表示:,img19,窄路,雙向交通,窄路讓先,汽車車道,窄路,A,轉彎,1
20,1,圖中標誌表示:,img20,注意落石,下陡坡,上陡坡,路面滑,下陡坡,B,轉彎,1
